Unique Key,Created Date,Agency,Agency Name,Complaint Type,Descriptor,Incident Zip,Incident Address,City,Borough,Latitude,Longitude
43696758,9/2/19 0:00,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,11215,912 PRESIDENT STREET,BROOKLYN,BROOKLYN,40.67246575,-73.97241843
43696619,9/2/19 0:00,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,11228,901 80 STREET,BROOKLYN,BROOKLYN,40.6226826,-74.01902001
43697510,9/2/19 0:00,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,10463,TIBBET AVENUE,,Unspecified,,
43700397,9/2/19 0:00,NYPD,New York City Police Department,Drinking,Underage - Licensed Est,10465,50 PENNYFIELD AVENUE,BRONX,BRONX,40.80991804,-73.80358599
43696723,9/2/19 0:00,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,10463,BAILEY AVENUE,,BRONX,40.874618,-73.90470956
43699665,9/2/19 0:00,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,11233,13 KANE PLACE,BROOKLYN,BROOKLYN,40.67778235,-73.92370568
43696907,9/2/19 0:00,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,10458,2962 BRIGGS AVENUE,BRONX,BRONX,40.87116434,-73.88565957
43696782,9/2/19 0:01,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,10032,558 WEST  164 STREET,NEW YORK,MANHATTAN,40.83801408,-73.94073148
43697944,9/2/19 0:01,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,11423,102-56 187 STREET,HOLLIS,QUEENS,40.70755168,-73.77046995
43695031,9/2/19 0:01,DOT,Department of Transportation,Sidewalk Condition,Broken Sidewalk,11363,254-10 37 AVENUE,LITTLE NECK,QUEENS,40.77626806,-73.74251816
43695795,9/2/19 0:01,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,11213,1236 STERLING PLACE,BROOKLYN,BROOKLYN,40.67184013,-73.93774287
43700714,9/2/19 0:01,NYPD,New York City Police Department,Noise - Vehicle,Car/Truck Music,11237,265 STOCKHOLM STREET,BROOKLYN,BROOKLYN,40.70178324,-73.92055494
43698616,9/2/19 0:01,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,11225,1142 NOSTRAND AVENUE,BROOKLYN,BROOKLYN,40.65971167,-73.95053494
43696768,9/2/19 0:01,NYPD,New York City Police Department,Noise - Residential,Loud Television,11206,544 MARCY AVENUE,BROOKLYN,BROOKLYN,40.6961755,-73.94937913
43693762,9/2/19 0:01,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,11221,314 LEWIS AVENUE,BROOKLYN,BROOKLYN,40.68518398,-73.93549851
43700253,9/2/19 0:02,NYPD,New York City Police Department,Blocked Driveway,No Access,11226,434 EAST   23 STREET,BROOKLYN,BROOKLYN,40.6396029,-73.95608074
43700687,9/2/19 0:02,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,10031,87 HAMILTON PLACE,NEW YORK,MANHATTAN,40.82300792,-73.95067009
43696588,9/2/19 0:02,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,11368,107-11 37 AVENUE,CORONA,QUEENS,40.75394565,-73.86089833
43697605,9/2/19 0:02,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,10459,1068 HALL PLACE,BRONX,BRONX,40.82526757,-73.89757543
43695705,9/2/19 0:02,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,10473,710 THIERIOT AVENUE,BRONX,BRONX,40.81985313,-73.86163129
43695902,9/2/19 0:03,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,10473,220 HOWE AVENUE,BRONX,BRONX,40.81233126,-73.84751827
43696724,9/2/19 0:03,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,11419,100-16 110 STREET,SOUTH RICHMOND HILL,QUEENS,40.68816187,-73.83393785
43695883,9/2/19 0:03,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,11212,903 THOMAS BOYLAND STREET,BROOKLYN,BROOKLYN,40.65824116,-73.91072048
43700532,9/2/19 0:03,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,10034,33 INDIAN ROAD,NEW YORK,MANHATTAN,40.87278705,-73.91874882
43697827,9/2/19 0:03,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,11225,347 LINCOLN ROAD,BROOKLYN,BROOKLYN,40.66152912,-73.95148875
43698653,9/2/19 0:03,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,11225,1233 NOSTRAND AVENUE,BROOKLYN,BROOKLYN,40.65697225,-73.95022341
43694000,9/2/19 0:03,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,11207,369 ASHFORD STREET,BROOKLYN,BROOKLYN,40.67315809,-73.88492835
43694640,9/2/19 0:03,DOHMH,Department of Health and Mental Hygiene,Smoking,Smoking Violation,11435,141-48 85 ROAD,JAMAICA,QUEENS,40.70959406,-73.81481075
43699458,9/2/19 0:03,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,11203,EAST   45 STREET,,BROOKLYN,40.65350372,-73.93541742
43695733,9/2/19 0:03,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,11357,23-11 PARSONS BOULEVARD,WHITESTONE,QUEENS,40.77821343,-73.82385969
43697028,9/2/19 0:04,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,10029,307 EAST  101 STREET,NEW YORK,MANHATTAN,40.78733192,-73.9444889
43698477,9/2/19 0:04,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,11432,184-36 GRAND CENTRAL PARKWAY,JAMAICA,QUEENS,40.71990933,-73.78068363
43695567,9/2/19 0:04,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,11201,190 PLYMOUTH STREET,BROOKLYN,BROOKLYN,40.70372564,-73.9859052
43695761,9/2/19 0:04,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,10034,33 INDIAN ROAD,NEW YORK,MANHATTAN,40.87278705,-73.91874882
43699404,9/2/19 0:04,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,10303,82 LAKE AVENUE,STATEN ISLAND,STATEN ISLAND,40.63504949,-74.15071474
43698627,9/2/19 0:04,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,11211,492 GRAND STREET,BROOKLYN,BROOKLYN,40.71091305,-73.95148888
43696794,9/2/19 0:04,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,10033,71 CABRINI BOULEVARD,NEW YORK,MANHATTAN,40.85062589,-73.94049976
43697495,9/2/19 0:04,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,10462,2235 NEWBOLD AVENUE,BRONX,BRONX,40.83353771,-73.85017632
